Code;Famille;Désignation;PrixAchat;PrixVente;Stock
PAT003;Pâtes & Conserves;Sardines Titus (boîte);600;800;90
PAT004;Pâtes & Conserves;Macaroni 500g;550;750;60
PAT005;Pâtes & Conserves;Petits pois en boîte 400g;700;900;40
PAT006;Pâtes & Conserves;Maïs doux en boîte 400g;750;950;35
PAT007;Pâtes & Conserves;Corned-beef (boîte);1500;1850;30
PAT008;Pâtes & Conserves;Thon à l'huile (boîte);1200;1500;45
SNK001;Biscuits & Snacks;Langue de chat (paquet);300;450;100
SNK002;Biscuits & Snacks;Pringles Original 40g;1200;1500;60
SNK003;Biscuits & Snacks;Pringles Paprika 40g;1200;1500;50
SNK004;Biscuits & Snacks;Chips Tentation Nature 100g;500;700;80
SNK005;Biscuits & Snacks;Chips plantain (paquet);400;600;70
SNK006;Biscuits & Snacks;Biscuits Choco Extra 200g;500;700;90
SNK007;Biscuits & Snacks;Biscuits Petit Beurre (paquet);400;600;90
SNK008;Biscuits & Snacks;Gâteau Cabinda (paquet);300;450;100
SNK009;Biscuits & Snacks;Cake vanille Bonbel (part);350;500;80
SNK010;Biscuits & Snacks;Croustillant arachide (sachet);250;400;100
SNK011;Biscuits & Snacks;Popcorn sucré (sachet);300;450;70
SNK012;Biscuits & Snacks;Gaufrettes Wafer (paquet);350;500;85
CON001;Confiseries;Bonbons Fruitel (sachet);200;350;120
CON002;Confiseries;Chewing-gum Malabar (paquet);250;400;100
CON003;Confiseries;Chocolat Kinder Bueno;700;950;60
CON004;Confiseries;Chocolat Cadbury (tablette);1200;1500;40
CON005;Confiseries;Sucette Chupa Chups (unité);100;200;150
CON006;Confiseries;Caramel mou (sachet);250;400;90
CON007;Confiseries;Nougat artisanal (sachet);300;500;60
CON008;Confiseries;Réglisse (sachet);200;350;80
HYG001;Hygiène & Entretien;Savon Ivoire (pain);300;450;150
HYG002;Hygiène & Entretien;Détergent Omo 1kg;1500;1850;60
HYG003;Hygiène & Entretien;Papier hygiénique (pack de 4);800;1100;70
HYG004;Hygiène & Entretien;Dentifrice Signal 100ml;700;950;65
HYG005;Hygiène & Entretien;Brosse à dents (unité);300;500;100
HYG006;Hygiène & Entretien;Savon liquide Dettol 250ml;1500;1900;40
HYG007;Hygiène & Entretien;Eau de Javel 1L;500;700;60
HYG008;Hygiène & Entretien;Crème hydratante Nivea 200ml;1800;2200;35
HYG009;Hygiène & Entretien;Shampooing Palmer's 400ml;2000;2500;30
HYG010;Hygiène & Entretien;Couches bébé Molfix (paquet);3500;4200;25
FRU001;Fruits & Légumes;Bananes (régime);1500;2200;30
FRU002;Fruits & Légumes;Oranges (kg);400;600;60
FRU003;Fruits & Légumes;Mangues Kent (kg);500;750;50
FRU004;Fruits & Légumes;Pommes importées (kg);1200;1600;35
FRU005;Fruits & Légumes;Papayes (unité);300;500;40
FRU006;Fruits & Légumes;Citrons (kg);500;700;45
FRU007;Fruits & Légumes;Pastèque (unité);1000;1500;20
FRU008;Fruits & Légumes;Tomates fraîches (kg);400;600;50
FRU009;Fruits & Légumes;Oignons (kg);350;500;60
FRU010;Fruits & Légumes;Pommes de terre (kg);400;600;55
DIV001;Divers;Bougies (paquet de 6);250;400;80
DIV002;Divers;Piles AA Tiger (lot de 4);500;700;60
DIV003;Divers;Allumettes (boîte);50;100;200
DIV004;Divers;Sachets plastiques (paquet);300;450;100
DIV005;Divers;Cahier 100 pages;350;500;90
DIV006;Divers;Stylo Bic (unité);75;150;200
DIV007;Divers;Recharge téléphone Orange 1000F;950;1000;150
